tpep_pickup_datetime,pickup_longitude,pickup_latitude
2016-01-03 08:01:16,-73.95090484619139,40.794239044189446
2016-01-03 08:01:19,-73.97825622558594,40.736942291259766
2016-01-03 08:01:20,-73.97447204589844,40.74224472045898
2016-01-03 08:01:22,-73.98243713378906,40.73152923583984
2016-01-03 08:01:23,-74.01586151123048,40.71100616455078
2016-01-03 08:01:23,-74.00824737548828,40.70796585083008
2016-01-03 08:01:24,-73.9785614013672,40.7368278503418
2016-01-03 08:01:25,-73.9586410522461,40.80916976928711
2016-01-03 08:01:25,-73.99326324462889,40.68782806396485
2016-01-03 08:01:25,-73.77662658691406,40.645332336425774
2016-01-03 08:01:26,-73.98845672607422,40.77853393554688
2016-01-03 08:01:27,-73.9923095703125,40.74053955078125
2016-01-03 08:01:28,-73.9802474975586,40.74562454223633
2016-01-03 08:01:29,-73.86355590820312,40.76980972290039
